scenario,method,seed,round,client_update_norm,cross_seed_mean_update_norm,absolute_deviation,relative_deviation_percent
High-straggler,Async-FedDRL,4518,42,0.1648892019274995,0.1651291311013179,0.00023992917381840395,0.14529790850240176
High-straggler,Async-FedDRL,5629,42,0.16517782014696497,0.1651291311013179,4.8689045647060114e-05,0.02948543683499799
High-straggler,Async-FedDRL,6740,42,0.16525852760085377,0.1651291311013179,0.00012939649953586096,0.0783607947748889
High-straggler,Async-FedDRL,7851,42,0.16496653738005593,0.1651291311013179,0.00016259372126198324,0.09846458960788752
High-straggler,Async-FedDRL,3407,43,0.16542135420123505,0.16513601377855647,0.0002853404226785816,0.17279115327394087
High-straggler,Async-FedDRL,4518,43,0.16480185826504337,0.16513601377855647,0.0003341555135130958,0.20235168929364525
High-straggler,Async-FedDRL,5629,43,0.1651899436853224,0.16513601377855647,5.3929906765920466e-05,0.03265787124923532
High-straggler,Async-FedDRL,6740,43,0.1652072284682408,0.16513601377855647,7.121468968432354e-05,0.04312486904269154
High-straggler,Async-FedDRL,7851,43,0.16505968427294088,0.16513601377855647,7.632950561559104e-05,0.04622220427213843
High-straggler,Async-FedDRL,3407,44,0.16530135004803392,0.16517279290119852,0.0001285571468354063,0.07783191443175838
High-straggler,Async-FedDRL,4518,44,0.16472350949548475,0.16517279290119852,0.0004492834057137629,0.2720081181787069
High-straggler,Async-FedDRL,5629,44,0.16525315144807012,0.16517279290119852,8.035854687160615e-05,0.04865120063670187
High-straggler,Async-FedDRL,6740,44,0.16525944033599643,0.16517279290119852,8.664743479791515e-05,0.052458660579618024
High-straggler,Async-FedDRL,7851,44,0.16532651317840735,0.16517279290119852,0.0001537202772088353,0.09306634253062865
High-straggler,Async-FedDRL,3407,45,0.16536877452783752,0.16520082665802727,0.00016794786981025323,0.1016628507301071
High-straggler,Async-FedDRL,4518,45,0.1647647035341762,0.16520082665802727,0.00043612312385107876,0.2639957273058156
High-straggler,Async-FedDRL,5629,45,0.16521694904211823,0.16520082665802727,1.6122384090960784e-05,0.009759263568538191
High-straggler,Async-FedDRL,6740,45,0.1653050151161372,0.16520082665802727,0.00010418845810994393,0.06306775832642682
High-straggler,Async-FedDRL,7851,45,0.16534869106986727,0.16520082665802727,0.0001478644118400041,0.08950585468079389
High-straggler,Async-FedDRL,3407,46,0.16546400422779126,0.16535221232987957,0.00011179189791168942,0.06760834725855576
High-straggler,Async-FedDRL,4518,46,0.1652366467192276,0.16535221232987957,0.00011556561065195758,0.06989057420133143
High-straggler,Async-FedDRL,5629,46,0.16529690324015614,0.16535221232987957,5.530908972342652e-05,0.033449258975189425
High-straggler,Async-FedDRL,6740,46,0.16545476879451898,0.16535221232987957,0.00010255646463941392,0.06202303748728357
High-straggler,Async-FedDRL,7851,46,0.16530873866770385,0.16535221232987957,4.347366217571924e-05,0.02629155156931846
High-straggler,Async-FedDRL,3407,47,0.16542908788573696,0.16529516491740992,0.0001339229683270382,0.08102049953726904
High-straggler,Async-FedDRL,4518,47,0.1652330967093481,0.16529516491740992,6.206820806181623e-05,0.03754992355210677
High-straggler,Async-FedDRL,5629,47,0.165177915301443,0.16529516491740992,0.00011724961596693007,0.07093348194758999
High-straggler,Async-FedDRL,6740,47,0.16530652625482464,0.16529516491740992,1.1361337414722561e-05,0.006873363428627375
High-straggler,Async-FedDRL,7851,47,0.16532919843569688,0.16529516491740992,3.4033518286957776e-05,0.020589542533783547
High-straggler,Async-FedDRL,3407,48,0.16544915925251544,0.16538817938478484,6.097986773059838e-05,0.03687075337393086
High-straggler,Async-FedDRL,4518,48,0.1651959716155913,0.16538817938478484,0.000192207769193542,0.11621614670922756
High-straggler,Async-FedDRL,5629,48,0.16533001093421557,0.16538817938478484,5.8168450569273666e-05,0.03517086335048258
High-straggler,Async-FedDRL,6740,48,0.1654286360671934,0.16538817938478484,4.045668240856837e-05,0.024461652918038135
High-straggler,Async-FedDRL,7851,48,0.16553711905440838,0.16538817938478484,0.00014893966962353788,0.090054603767674
